name,categories,body,service,hours,address,PLZ,email,phone,website
"Bolebuck, Katrin Bürchler",Gemüse / Früchte,Bio-Gemüsepakete zu CHF 15 oder CHF 35,Abholung,"Dienstag und Freitag, 9-11 Uhr","Chez Mamie, Schaffhauserstrasse 74, 8057 Zürich",8057,info@bolebuck.ch,,www.bolebuck.ch
"Zum guten Heinrich, Karin Meier",Mahlzeiten,"Mahlzeiten, Salate, Suppen in Weckgläser Egal ob du im Homeoffice bist, in der Quarantäne steckst, die Office-Mensa geschlossen ist oder einfach schampar Lust auf ein paar unförmige Vitaminli hast - ab sofort bringt dir Heinrich unsere Köstlichkeiten zu dir! Was heisst das genau? Wir produzieren für dich verschiedenste Eintöpfe, frische Salate, herzwärmende Suppen sowie unsere oberoberober-feinen Brownies. Wir bringen die Speisen huschhusch mit unserem fancy Lastenrad zu dir, du kannst diese einfach wärmen und dann geniessen wenn du einen Regenbogen im Bauch brauchst!","Abholung, Lieferung",täglich,"Binzstrasse 12, 8045 Zürich",8045,kontakt@zumgutenheinrich.ch,078 658 99 44,https://www.zumgutenheinrich.ch/hauslieferungen
Leibacher Biber-Manufaktur AG,Backwaren,Langhaltbare Backwaren wie Biber-Spezialitäten und Läckerli (auch vegan & glutenfrei),Versand,Mo-Do 08:30 - 17:30,"Schmittestrasse 3, 8308 Illnau",8308,,,www.biber-manufaktur.ch
Solawi Halde,Gemüse / Früchte,Gemüse,"Abholung, Versand, Lieferung, Selbstbedienung",8-17 Uhr,8852 Altendorf,8852,,078 721 24 85 ,www.solawi-halde.ch
Hof in Niederesslingen,"Gemüse / Früchte, Molkereiprodukte","Saisonales Gemüse, Käse, etc.",Lieferung,Samstags,"Niederesslingen 62, 8133 Esslingen ",8133,susipf@hotmail.com,,
Marktschwärmerei Uster,"Gemüse / Früchte, Molkereiprodukte, Fleischwaren, Backwaren, Grundnahrungsmittel","Lokale Lebensmittel der täglichen Bedarfs, direkt vom Produzenten, vorwiegend Bio-Qualität",Abholung,"Donnerstag 17.30-19Uhr, Freitag 9.00-18.30Uhr","Zürichstrasse 30, 8610 Uster",8610,,,https://marktschwaermer.ch/de-CH/assemblies/10937
SlowGrow.ch,"Gemüse / Früchte, Grundnahrungsmittel","Diverse Spezialgetreide und Trockenprodukten wie Teigwaren, Mehle und Flocken. Zudem bieten wir auch unsere Kürbiskerne und Erdmandeln an.
Vom Gemüse haben wir noch genügend Topinambur und etwas Sellerie.
Diverse Wildkräuter springen gerade in die Lücke, bereichern unsere Salatteller und die kreative Küche.

Im laufe vom Frühjahr kommt dann weites Gemüse dazu.",Lieferung,2x pro Woche,"Im Eichhof 1, 8617 Mönchaltorf ",8617,,,www.slowgrow.ch/lieferdienst
Crowd Container,"Gemüse / Früchte, Grundnahrungsmittel",Regelmässige Sammelbestellungen für haltbare Lebensmittel in Sizilien und bei Schweizer Bio-Produzent*innen. Saisonale Frischprodukte. Kaffee.,"Abholung, Versand, Lieferung","Fixes Zeitfenster bei Velokurier, ansonsten Postversand", ,8005,,,www.crowdcontainer.ch
Greeny Food,Mahlzeiten,Kreative und frische Mahlzeiten auf Vorbestellungen,"Abholung, Lieferung",Auf Vorbestellung,"Püntenstrasse 15, 8143 Stallikon",8143,info@greenyfoodtruck.ch,,www.greenyfoodtruck.ch
GRUNDSTOCK  Bern,"Gemüse / Früchte, Molkereiprodukte, Fleischwaren, Backwaren, Grundnahrungsmittel",Lokal produzierte Produkte und lokal konsumiert – das ist GRUNDSTOCK,"Abholung, Lieferung",https://grundstock.ch/page/so-lauft-s,"Tscharnerstrasse 20, 3007 Bern",3007,hallo@grundstock.ch,,https://grundstock.ch
