name,address,zip,locality,category,body,service,hours,order,email,phone,website
"Bolebuck, Katrin Bürchler","Chez Mamie, Schaffhauserstrasse 74",8057,Zürich,Gemüse / Früchte,Bio-Gemüsepakete zu CHF 15 oder CHF 35,Abholung,"Dienstag und Freitag, 9-11 Uhr","EMAIL,WEBSITE",info@bolebuck.ch,,www.bolebuck.ch
"Zum guten Heinrich, Karin Meier",Binzstrasse 12,8045,Zürich,Menüs,"Menüs, Salate, Suppen in Weckgläser Egal ob du im Homeoffice bist, in der Quarantäne steckst, die Office-Mensa geschlossen ist oder einfach schampar Lust auf ein paar unförmige Vitaminli hast - ab sofort bringt dir Heinrich unsere Köstlichkeiten zu dir! Was heisst das genau? Wir produzieren für dich verschiedenste Eintöpfe, frische Salate, herzwärmende Suppen sowie unsere oberoberober-feinen Brownies. Wir bringen die Speisen huschhusch mit unserem fancy Lastenrad zu dir, du kannst diese einfach wärmen und dann geniessen wenn du einen Regenbogen im Bauch brauchst!","Abholung, Lieferung per Velo / Auto",täglich,"PHONE,EMAIL,WEBSITE",kontakt@zumgutenheinrich.ch,078 658 99 44‬,https://www.zumgutenheinrich.ch/hauslieferungen
Leibacher Biber-Manufaktur AG,"Schmittestrasse 3,",8308,Illnau,Backwaren,Langhaltbare Backwaren wie Biber-Spezialitäten und Läckerli (auch vegan & glutenfrei),Lieferung per Post,Mo-Do 08:30 - 17:30,"PHONE,EMAIL,WEBSITE",,078 721 24 85,www.biber-manufaktur
Solawi Halde,Haldenstrasse,8852,Altendorf,Gemüse / Früchte,Gemüse,"Abholung, Lieferung per Post, Lieferung per Velo / Auto, Selbst ernten",8-17 Uhr,"PHONE,WEBSITE",,,www.solawi-halde.ch
Hof in Niederesslingen,Niederesslingen 6,8133,Esslingen,"Gemüse / Früchte, Molkereiprodukte","Saisonales Gemüse, Käse, etc.",Lieferung per Velo / Auto,Samstags,EMAIL,susipf@hotmail.com,,
Marktschwärmerei Uster,Zürichstrasse 30,8610,Uster,"Gemüse / Früchte, Molkereiprodukte, Fleischwaren, Backwaren, Grundnahrungsmittel","Lokale Lebensmittel der täglichen Bedarfs, direkt vom Produzenten, vorwiegend Bio-Qualität",Abholung,"Donnerstag 17.30-19Uhr, Freitag 9.00-18.30Uhr",WEBSITE,,,https://marktschwaermer.ch/de-CH/assemblies/10937
SlowGrow.ch,Im Eichhof 1,8617,Mönchaltorf,"Gemüse / Früchte, Grundnahrungsmittel","Diverse Spezialgetreide und Trockenprodukten wie Teigwaren, Mehle und Flocken. Zudem bieten wir auch unsere Kürbiskerne und Erdmandeln an.
Vom Gemüse haben wir noch genügend Topinambur und etwas Sellerie.
Diverse Wildkräuter springen gerade in die Lücke, bereichern unsere Salatteller und die kreative Küche.

Im laufe vom Frühjahr kommt dann weites Gemüse dazu.",Lieferung per Velo / Auto,2x pro Woche,WEBSITE,,,www.slowgrow.ch/lieferdienst
Crowd Container,Sihlquai 131,8005,Zürich,"Gemüse / Früchte, Grundnahrungsmittel",Regelmässige Sammelbestellungen für haltbare Lebensmittel in Sizilien und bei Schweizer Bio-Produzent*innen. Saisonale Frischprodukte. Kaffee.,"Abholung, Lieferung per Post, Lieferung per Velo / Auto","Fixes Zeitfenster bei Velokurier, ansonsten Postversand",WEBSITE,,,www.crowdcontainer.ch
Greeny Food,Püntenstrasse 15,8143,Stallikon,Menüs,Kreative und frische Menüs auf Vorbestellungen,"Abholung, Lieferung per Velo / Auto",Auf Vorbestellung,"EMAIL,WEBSITE",info@greenyfoodtruck.ch,,greenyfoodtruck.ch
GRUNDSTOCK  Bern,Tscharnerstrasse 20,3007,Bern,"Gemüse / Früchte, Molkereiprodukte, Fleischwaren, Backwaren, Grundnahrungsmittel",Lokal produzierte Produkte und lokal konsumiert – das ist GRUNDSTOCK,"Abholung, Lieferung per Velo / Auto",https://grundstock.ch/page/so-lauft-s,WEBSITE,,,grundstock.ch
La P‘tite Welsch / Michele Gelato,Mattenstrasse 4,8212,Neuhausen am Rheinfall,"Backwaren, Menüs","Tartelette, Mini-Cake, Streuselkuchen, ganze Tarte süss, ganze Tarte salzig, Arancini, Sirup, Konfitüre, Menü: Arancini mit Salat, Stück Tarte mit Salat ","Abholung, Lieferung per Velo / Auto","Abholung von 9h00 bis 20h00 Montag-Sonntag / Mittwoch, Samstag Zürich und Region, Freitag Schaffhausen und Winterthur ","PHONE,EMAIL,WEBSITE",laptitewelsch@gmx.ch,079 688 63 57,www.laptitewelsch.jimdo.com
Bio Metzgerei Bärtschi,Leiernstrasse 5,3054,Schüpfen,Fleischwaren,Biologische Fleischwaren und Antipasti,,Freitag 08.00 -12.00Uhr und 13.30 - 18.00Uhr,"PHONE,EMAIL",,031 879 02 04,
grundversorgig - ein Projekt von und mit grassrooted und FOIFI,Ausstellungsstrasse 21,8005 Zürich,,"Gemüse / Früchte, Molkereiprodukte, Grundnahrungsmittel",Per mail oder Telefon kann eine Bestellung aufgrund unserer Sortimentsliste(mit <50 Produkten) gemacht werden.,Lieferung per Velo / Auto,Bestellung Montag bis 18.00 Uhr für eine Lieferung am Mittwoch und Bestellung Mittwoch bis 18:00 Uhr für eine Lieferung am Freitag,"PHONE,EMAIL",bestellung@grundversorgig.ch,077 504 89 50,grundversorgig.ch
Frisches von Derrers,,‎8037,Wipkingen,"Gemüse / Früchte, Backwaren, Eier, Grundnahrungsmittel, Trockenfrüchte",Lieferung auf Bestellung in Wipkingen und Höngg. Immer am Samstag und Dienstag,Lieferung per Velo / Auto,Samstag ab 09:00 und Dienstag ab 16:00,WEBSITE,,,https://sites.google.com/view/frisches-von-derrers/startseite
Familie Fiechter,"Südhang Weine, Wallisellenstrasse 6",8050,Zürich,Fleischwaren,"Fleisch, Charcuterie",Abholung,Samstag Morgen,"PHONE,EMAIL",,044 945 42 08,
"Agrico Genossenschaft Birsmattehof
",Birsmatthof 1,4106,Therwil,Gemüse / Früchte,"Frisches, saisonales, lokales Bio-Gemüse aus Eigenanbau","Abholung, Hofladen und Abholung an bestimmten Tagen&Orten",Mo-Do 14.30-17.30 / Fr 8 - 17.30 / Sa 8 - 17,"EMAIL,WEBSITE",,,birsmattehof.ch
